충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME18A002,4,11,51.91,27,289.91,5,42.01,0,0,0,0,0,0,0,0,0,0,0,0
ME18A002,5,72,1057.07,45,794.22,4,73.02,1,1.4,0,0,0,0,0,0,0,0,0,0
ME18A002,6,21,183.7,18,277.68,3,37.81,1,0.33,0,0,0,0,0,0,0,0,0,0
ME18B159,1,158,3150.93,113,2242.22,93,2105.17,106,2416.96,132,3380.81,105,2545.42,79,2038.59,88,2195.45,82,2069.23
ME18B160,1,126,2421.62,89,1685.67,52,1103.84,46,848,81,2006.22,78,1955.34,56,1339.99,40,686.67,65,1378.52
ME18B161,1,74,2032.9,55,1278.34,55,1391.26,35,951.75,38,1124.3,26,800.85,34,1002.04,13,388.64,17,493.44
ME18B162,1,80,1567.75,115,2411.2,79,1401.89,62,1199.63,74,1922.82,71,1737,88,2241.31,115,2633.82,88,1844.29
ME18B163,1,273,5866.86,250,5211.8,270,5941.28,201,4451.52,176,4124.33,208,5184.47,230,5953.26,260,6407.72,219,5840.66
ME18B164,1,189,3783.47,127,2935.26,134,3565.07,146,3737.26,128,3578.67,132,3831.5,150,4304.64,150,4063.87,128,3189.48
ME18B165,1,343,7242.46,241,5236.77,125,2934.04,133,2843.16,113,2588.76,138,3558.64,118,3096.6,153,3597.92,125,3219.12
ME18B166,1,287,5068.2,224,3596.54,245,4366.72,209,3992.17,188,3239.82,184,3525.08,246,4737.19,223,3877.5,196,3472.89
ME18B167,1,194,3583.57,182,3334.26,167,3700.38,128,3479.34,19,489.45,55,1328.91,102,2848.12,100,2565.37,87,2028.53
ME18B168,1,95,2096.88,107,2516.85,104,2875.01,87,2588.14,133,3539.85,82,2245.27,88,2401.97,5,135.94,0,0
ME18B169,1,213,4250.07,188,3848.94,189,4098.25,130,3038.38,145,3535.14,104,2327.76,133,3040.53,140,3482.44,175,4529.55
ME18B170,1,191,4057.41,159,3597.13,144,3401.58,98,2753.25,91,2174.22,141,3061.97,126,2834.31,102,2275.76,95,2073.56
ME18B171,1,158,2970.27,133,2450.23,110,2277.08,93,1860.29,91,1756.46,79,1886.02,74,1693.56,108,2333.58,82,1860.04
ME18B172,1,297,6287.89,235,5010.79,156,3244.76,33,752.08,112,2223.02,126,2296.9,138,3101.21,135,3031.75,90,1906.3
ME18B173,1,197,4551.14,251,6022.34,202,4651.07,154,3823.47,186,4435.72,159,4052.24,180,4675.48,95,1728.4,94,1281.24
ME18B174,1,96,1758.41,100,1839.4,37,648.69,80,1401.06,39,792.08,36,741.03,26,602.2,32,678.5,46,830.33
ME18B175,1,321,6710.99,245,5581.09,196,4458.57,168,3834.58,159,3529.53,157,3015.19,144,3262.04,160,3319.26,111,2425.42
ME18B176,1,87,1712.69,77,1439.34,63,932.42,77,1353.41,70,1215.14,80,1256.82,98,2168.76,78,1907.39,57,1309.95
ME18B177,1,344,6403.7,304,5730.6,288,5199.6,290,5096.54,220,4108.47,213,4249.71,176,3949.82,156,3743.75,162,3125
ME18B178,1,95,2755.34,91,2730.39,64,1991.66,45,1466.23,35,1143.41,38,1119.48,49,1634.97,43,1357.45,25,713.72
ME18B179,1,222,3433.15,180,2728.59,175,2952.82,154,2649.68,149,2836.74,160,3176.68,157,3249.49,173,3833.99,151,3342.6
ME18B180,1,222,4386.94,176,3903.89,155,3741.26,135,3091.2,97,2036.82,94,1972.89,98,2191.3,115,2397.53,127,3088.27
ME18B181,1,297,5430.94,235,3886.25,207,3971.56,174,3598.97,142,3199.48,112,2458.27,140,3247.37,153,3637.6,127,2719.88
ME18B182,1,101,2142.83,62,1590.29,77,1942.99,72,1985.45,55,1641.86,73,2345.21,79,2251.03,61,1863.75,61,1780.23
ME18B183,1,133,3173.06,107,2498.82,97,2194.54,96,2621.27,87,2384.44,87,2599.74,96,2669.23,101,3135.7,68,1831.17
